
921281-Dep. Manassés-07- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 39000
921281-Dep. Manassés-08- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 710.39
921281-Dep. Manassés-08- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31000
921281-Dep. Manassés-09- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 693.5700000000001
921281-Dep. Manassés-09- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 38000
921281-Dep. Manassés-09- 2017- Divulgação da  atividade parlamentar- 8000
921281-Dep. Manassés-10- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 692.16
921281-Dep. Manassés-10- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 39500
921281-Dep. Manassés-10- 2017- Divulgação da  atividade parlamentar- 5500
921281-Dep. Manassés-11- 2017- Assessorias- 4500
921281-Dep. Manassés-11- 2017- Divulgação da  atividade parlamentar- 22900
921281-Dep. Manassés-12- 2017- Consultorias- 3000
921281-Dep. Manassés-12- 2017- Divulgação da  atividade parlamentar- 17900
