
921274-Dep. Vitor Bonfim-02- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
921274-Dep. Vitor Bonfim-02- 2015- Divulgação da  atividade parlamentar- 10000
921274-Dep. Vitor Bonfim-03- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 26000
921274-Dep. Vitor Bonfim-03- 2015- Divulgação da  atividade parlamentar- 401
921274-Dep. Vitor Bonfim-03- 2015- Locomoção, hospedagem- 1187
921274-Dep. Vitor Bonfim-04- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1145.21
921274-Dep. Vitor Bonfim-04- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
921274-Dep. Vitor Bonfim-04- 2015- Divulgação da  atividade parlamentar- 12100
921274-Dep. Vitor Bonfim-04- 2015- Locomoção, hospedagem- 331.2
921274-Dep. Vitor Bonfim-05- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
921274-Dep. Vitor Bonfim-05- 2015- Divulgação da  atividade parlamentar- 2100
921274-Dep. Vitor Bonfim-05- 2015- Locomoção, hospedagem- 14214
921274-Dep. Vitor Bonfim-06- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 45000
921274-Dep. Vitor Bonfim-06- 2015- Divulgação da  atividade parlamentar- 18100
921274-Dep. Vitor Bonfim-06- 2015- Locomoção, hospedagem- 1692
921274-Dep. Vitor Bonfim-07- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1265.7
921274-Dep. Vitor Bonfim-07- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
921274-Dep. Vitor Bonfim-07- 2015- Divulgação da  atividade parlamentar- 18900
921274-Dep. Vitor Bonfim-07- 2015- Locomoção, hospedagem- 494
921274-Dep. Vitor Bonfim-08- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1285.45
921274-Dep. Vitor Bonfim-08- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
921274-Dep. Vitor Bonfim-08- 2015- Divulgação da  atividade parlamentar- 3100
921274-Dep. Vitor Bonfim-08- 2015- Locomoção, hospedagem- 451
921274-Dep. Vitor Bonfim-09- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1322.18
921274-Dep. Vitor Bonfim-09- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 25000
921274-Dep. Vitor Bonfim-09- 2015- Divulgação da  atividade parlamentar- 22800
921274-Dep. Vitor Bonfim-10- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1338.27
921274-Dep. Vitor Bonfim-10- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
921274-Dep. Vitor Bonfim-10- 2015- Divulgação da  atividade parlamentar- 7400
921274-Dep. Vitor Bonfim-11- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1358.59
921274-Dep. Vitor Bonfim-11- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 35000
921274-Dep. Vitor Bonfim-11- 2015- Divulgação da  atividade parlamentar- 16200
