
910643-Dep. Leur Lomanto Júnior-02- 2009- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 802.5999999999999
910643-Dep. Leur Lomanto Júnior-02- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
910643-Dep. Leur Lomanto Júnior-02- 2009- Divulgação da  atividade parlamentar- 3000
910643-Dep. Leur Lomanto Júnior-03- 2009- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 279.8
910643-Dep. Leur Lomanto Júnior-03- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 547.15
910643-Dep. Leur Lomanto Júnior-03- 2009- Divulgação da  atividade parlamentar- 14500
910643-Dep. Leur Lomanto Júnior-04- 2009- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 279.8
910643-Dep. Leur Lomanto Júnior-04- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
910643-Dep. Leur Lomanto Júnior-04- 2009- Divulgação da  atividade parlamentar- 3500
910643-Dep. Leur Lomanto Júnior-05- 2009- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 795.7
910643-Dep. Leur Lomanto Júnior-05- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
910643-Dep. Leur Lomanto Júnior-05- 2009- Divulgação da  atividade parlamentar- 2500
910643-Dep. Leur Lomanto Júnior-06- 2009- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 364.57
910643-Dep. Leur Lomanto Júnior-06- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
910643-Dep. Leur Lomanto Júnior-06- 2009- Divulgação da  atividade parlamentar- 2500
910643-Dep. Leur Lomanto Júnior-06- 2009- Locomoção, hospedagem- 1038.8
910643-Dep. Leur Lomanto Júnior-07- 2009- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 411.57
910643-Dep. Leur Lomanto Júnior-07- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
910643-Dep. Leur Lomanto Júnior-07- 2009- Divulgação da  atividade parlamentar- 2500
