
907264-Dep. Sandro Régis-02- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23500
907264-Dep. Sandro Régis-02- 2012- Locomoção, hospedagem- 4000
907264-Dep. Sandro Régis-03- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30500
907264-Dep. Sandro Régis-04- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28500
907264-Dep. Sandro Régis-05- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28500
907264-Dep. Sandro Régis-06- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28500
907264-Dep. Sandro Régis-07- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28500
907264-Dep. Sandro Régis-08- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28500
907264-Dep. Sandro Régis-09- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28500
907264-Dep. Sandro Régis-10- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28500
907264-Dep. Sandro Régis-11- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28500
907264-Dep. Sandro Régis-12- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28500
907264-Dep. Sandro Régis-01- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 25200
907264-Dep. Sandro Régis-02- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 27500
907264-Dep. Sandro Régis-03- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28500
907264-Dep. Sandro Régis-04- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 29500
907264-Dep. Sandro Régis-05- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31500
907264-Dep. Sandro Régis-05- 2013- Divulgação da  atividade parlamentar- 2600
907264-Dep. Sandro Régis-06- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28500
907264-Dep. Sandro Régis-06- 2013- Divulgação da  atividade parlamentar- 2600
907264-Dep. Sandro Régis-07- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 29000
907264-Dep. Sandro Régis-07- 2013- Divulgação da  atividade parlamentar- 2600
907264-Dep. Sandro Régis-08- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23500
907264-Dep. Sandro Régis-08- 2013- Divulgação da  atividade parlamentar- 7600
907264-Dep. Sandro Régis-09- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28500
907264-Dep. Sandro Régis-09- 2013- Divulgação da  atividade parlamentar- 1600
907264-Dep. Sandro Régis-10- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1600
907264-Dep. Sandro Régis-10- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30500
907264-Dep. Sandro Régis-11- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28500
907264-Dep. Sandro Régis-11- 2013- Divulgação da  atividade parlamentar- 3400
907264-Dep. Sandro Régis-12- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23500
907264-Dep. Sandro Régis-12- 2013- Divulgação da  atividade parlamentar- 8100
907264-Dep. Sandro Régis-01- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33500
907264-Dep. Sandro Régis-01- 2014- Divulgação da  atividade parlamentar- 1600
907264-Dep. Sandro Régis-02- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30500
907264-Dep. Sandro Régis-02- 2014- Divulgação da  atividade parlamentar- 1600
907264-Dep. Sandro Régis-03- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
907264-Dep. Sandro Régis-03- 2014- Divulgação da  atividade parlamentar- 1600
907264-Dep. Sandro Régis-04- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31500
907264-Dep. Sandro Régis-04- 2014- Divulgação da  atividade parlamentar- 1600
907264-Dep. Sandro Régis-05- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31500
907264-Dep. Sandro Régis-05- 2014- Divulgação da  atividade parlamentar- 1600
907264-Dep. Sandro Régis-06- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1600
907264-Dep. Sandro Régis-06- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30500
907264-Dep. Sandro Régis-07- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 29500
907264-Dep. Sandro Régis-07- 2014- Divulgação da  atividade parlamentar- 1750
907264-Dep. Sandro Régis-08- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 29500
907264-Dep. Sandro Régis-08- 2014- Divulgação da  atividade parlamentar- 1750
907264-Dep. Sandro Régis-09- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31500
907264-Dep. Sandro Régis-09- 2014- Divulgação da  atividade parlamentar- 1750
907264-Dep. Sandro Régis-10- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 55500
907264-Dep. Sandro Régis-10- 2014- Divulgação da  atividade parlamentar- 1750
907264-Dep. Sandro Régis-11- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 8500
907264-Dep. Sandro Régis-11- 2014- Divulgação da  atividade parlamentar- 3500
907264-Dep. Sandro Régis-12- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33500
907264-Dep. Sandro Régis-01- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31000
907264-Dep. Sandro Régis-01- 2015- Divulgação da  atividade parlamentar- 2540
907264-Dep. Sandro Régis-02- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
907264-Dep. Sandro Régis-02- 2015- Divulgação da  atividade parlamentar- 2740
907264-Dep. Sandro Régis-03- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1950
907264-Dep. Sandro Régis-03- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
907264-Dep. Sandro Régis-04- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 65000
907264-Dep. Sandro Régis-04- 2015- Divulgação da  atividade parlamentar- 2120
907264-Dep. Sandro Régis-05- 2015- Divulgação da  atividade parlamentar- 2225
907264-Dep. Sandro Régis-05- 2015- Locomoção, hospedagem- 2900
907264-Dep. Sandro Régis-06- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1750
907264-Dep. Sandro Régis-06- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
907264-Dep. Sandro Régis-06- 2015- Locomoção, hospedagem- 2900
907264-Dep. Sandro Régis-07- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
907264-Dep. Sandro Régis-07- 2015- Divulgação da  atividade parlamentar- 1750
907264-Dep. Sandro Régis-07- 2015- Locomoção, hospedagem- 2900
907264-Dep. Sandro Régis-08- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 37500
907264-Dep. Sandro Régis-08- 2015- Divulgação da  atividade parlamentar- 1750
907264-Dep. Sandro Régis-09- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 25000
907264-Dep. Sandro Régis-09- 2015- Divulgação da  atividade parlamentar- 10750
907264-Dep. Sandro Régis-10- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 34000
907264-Dep. Sandro Régis-10- 2015- Divulgação da  atividade parlamentar- 1750
907264-Dep. Sandro Régis-10- 2015- Locomoção, hospedagem- 3000
907264-Dep. Sandro Régis-11- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 34000
907264-Dep. Sandro Régis-11- 2015- Divulgação da  atividade parlamentar- 1750
907264-Dep. Sandro Régis-12- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 34000
907264-Dep. Sandro Régis-12- 2015- Divulgação da  atividade parlamentar- 4150
907264-Dep. Sandro Régis-12- 2015- Locomoção, hospedagem- 1050
907264-Dep. Sandro Régis-01- 2016- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1320
907264-Dep. Sandro Régis-01- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 34000
907264-Dep. Sandro Régis-01- 2016- Divulgação da  atividade parlamentar- 2200
907264-Dep. Sandro Régis-02- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 34000
907264-Dep. Sandro Régis-02- 2016- Divulgação da  atividade parlamentar- 1750
907264-Dep. Sandro Régis-03- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 39000
907264-Dep. Sandro Régis-03- 2016- Divulgação da  atividade parlamentar- 1750
907264-Dep. Sandro Régis-04- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 36000
907264-Dep. Sandro Régis-04- 2016- Divulgação da  atividade parlamentar- 1750
907264-Dep. Sandro Régis-05- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 36000
907264-Dep. Sandro Régis-05- 2016- Divulgação da  atividade parlamentar- 1750
907264-Dep. Sandro Régis-06- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 36000
907264-Dep. Sandro Régis-06- 2016- Divulgação da  atividade parlamentar- 1750
907264-Dep. Sandro Régis-07- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 27750
907264-Dep. Sandro Régis-07- 2016- Divulgação da  atividade parlamentar- 9250
907264-Dep. Sandro Régis-08- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 26000
907264-Dep. Sandro Régis-08- 2016- Divulgação da  atividade parlamentar- 9250
907264-Dep. Sandro Régis-09- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21000
907264-Dep. Sandro Régis-09- 2016- Divulgação da  atividade parlamentar- 14250
907264-Dep. Sandro Régis-10- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 17000
907264-Dep. Sandro Régis-10- 2016- Divulgação da  atividade parlamentar- 26150
907264-Dep. Sandro Régis-11- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 17000
907264-Dep. Sandro Régis-11- 2016- Divulgação da  atividade parlamentar- 21850
907264-Dep. Sandro Régis-12- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 17000
907264-Dep. Sandro Régis-12- 2016- Divulgação da  atividade parlamentar- 20950
907264-Dep. Sandro Régis-01- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21250
907264-Dep. Sandro Régis-01- 2017- Divulgação da  atividade parlamentar- 16000
907264-Dep. Sandro Régis-02- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21250
907264-Dep. Sandro Régis-02- 2017- Divulgação da  atividade parlamentar- 18000
907264-Dep. Sandro Régis-03- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21250
907264-Dep. Sandro Régis-03- 2017- Divulgação da  atividade parlamentar- 13845
907264-Dep. Sandro Régis-04- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21250
907264-Dep. Sandro Régis-04- 2017- Divulgação da  atividade parlamentar- 17400
907264-Dep. Sandro Régis-05- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
907264-Dep. Sandro Régis-05- 2017- Divulgação da  atividade parlamentar- 24000
907264-Dep. Sandro Régis-06- 2017- Divulgação da  atividade parlamentar- 36000
907264-Dep. Sandro Régis-07- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
907264-Dep. Sandro Régis-07- 2017- Divulgação da  atividade parlamentar- 21990
907264-Dep. Sandro Régis-08- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
907264-Dep. Sandro Régis-08- 2017- Divulgação da  atividade parlamentar- 24190
907264-Dep. Sandro Régis-09- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
907264-Dep. Sandro Régis-09- 2017- Divulgação da  atividade parlamentar- 24190
907264-Dep. Sandro Régis-10- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
907264-Dep. Sandro Régis-10- 2017- Divulgação da  atividade parlamentar- 24190
907264-Dep. Sandro Régis-11- 2017- Assessorias- 9750
907264-Dep. Sandro Régis-11- 2017- Divulgação da  atividade parlamentar- 21990
907264-Dep. Sandro Régis-11- 2017- Trabalhos Técnicos- 3200
907264-Dep. Sandro Régis-12- 2017- Assessorias- 9750
907264-Dep. Sandro Régis-12- 2017- Divulgação da  atividade parlamentar- 29695
