
903706-Dep. Nelson Leal-04- 2012- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-05- 2012- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-06- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 36880
903706-Dep. Nelson Leal-07- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 25000
903706-Dep. Nelson Leal-08- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
903706-Dep. Nelson Leal-09- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 25000
903706-Dep. Nelson Leal-10- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32000
903706-Dep. Nelson Leal-11- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 25000
903706-Dep. Nelson Leal-12- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32700
903706-Dep. Nelson Leal-01- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 25000
903706-Dep. Nelson Leal-02- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 25000
903706-Dep. Nelson Leal-03- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 37100
903706-Dep. Nelson Leal-04- 2013- Divulgação da  atividade parlamentar- 25000
903706-Dep. Nelson Leal-05- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 38890
903706-Dep. Nelson Leal-06- 2013- Divulgação da  atividade parlamentar- 31150
903706-Dep. Nelson Leal-07- 2013- Divulgação da  atividade parlamentar- 30150
903706-Dep. Nelson Leal-08- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31500
903706-Dep. Nelson Leal-09- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31500
903706-Dep. Nelson Leal-10- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31600
903706-Dep. Nelson Leal-11- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31500
903706-Dep. Nelson Leal-12- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31500
903706-Dep. Nelson Leal-01- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
903706-Dep. Nelson Leal-02- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32800
903706-Dep. Nelson Leal-03- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31800
