
915883-Dep. Targino Machado-03- 2011- Divulgação da  atividade parlamentar- 33570
915883-Dep. Targino Machado-04- 2011- Divulgação da  atividade parlamentar- 35000
915883-Dep. Targino Machado-05- 2011- Divulgação da  atividade parlamentar- 2100
915883-Dep. Targino Machado-05- 2011- Locomoção, hospedagem- 30400
915883-Dep. Targino Machado-06- 2011- Divulgação da  atividade parlamentar- 26128
915883-Dep. Targino Machado-06- 2011- Locomoção, hospedagem- 15200
915883-Dep. Targino Machado-07- 2011- Divulgação da  atividade parlamentar- 2900
915883-Dep. Targino Machado-07- 2011- Locomoção, hospedagem- 20100
915883-Dep. Targino Machado-08- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1100
915883-Dep. Targino Machado-08- 2011- Divulgação da  atividade parlamentar- 3750
915883-Dep. Targino Machado-08- 2011- Locomoção, hospedagem- 20100
915883-Dep. Targino Machado-09- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1100
915883-Dep. Targino Machado-09- 2011- Divulgação da  atividade parlamentar- 2800
915883-Dep. Targino Machado-09- 2011- Locomoção, hospedagem- 20100
915883-Dep. Targino Machado-10- 2011- Divulgação da  atividade parlamentar- 40500
915883-Dep. Targino Machado-10- 2011- Locomoção, hospedagem- 0
915883-Dep. Targino Machado-11- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2200
915883-Dep. Targino Machado-11- 2011- Divulgação da  atividade parlamentar- 2900
915883-Dep. Targino Machado-12- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 8185
915883-Dep. Targino Machado-12- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 11210
915883-Dep. Targino Machado-12- 2011- Divulgação da  atividade parlamentar- 36080
915883-Dep. Targino Machado-12- 2011- Locomoção, hospedagem- 800
915883-Dep. Targino Machado-01- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1100
915883-Dep. Targino Machado-01- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 3000
915883-Dep. Targino Machado-01- 2012- Divulgação da  atividade parlamentar- 600
915883-Dep. Targino Machado-01- 2012- Locomoção, hospedagem- 0
915883-Dep. Targino Machado-02- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1100
915883-Dep. Targino Machado-02- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21100
915883-Dep. Targino Machado-02- 2012- Divulgação da  atividade parlamentar- 1600
915883-Dep. Targino Machado-03- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1304.12
915883-Dep. Targino Machado-03- 2012- Aquisição de material de expediente- 7300
915883-Dep. Targino Machado-03- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12300
915883-Dep. Targino Machado-03- 2012- Divulgação da  atividade parlamentar- 34700
915883-Dep. Targino Machado-04- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 346.8100000000001
915883-Dep. Targino Machado-04- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 14100
915883-Dep. Targino Machado-04- 2012- Divulgação da  atividade parlamentar- 2500
915883-Dep. Targino Machado-05- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2371.83
915883-Dep. Targino Machado-05- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5600
915883-Dep. Targino Machado-05- 2012- Divulgação da  atividade parlamentar- 1200
915883-Dep. Targino Machado-05- 2012- Locomoção, hospedagem- 20400
915883-Dep. Targino Machado-06- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1236.97
915883-Dep. Targino Machado-06- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21600
915883-Dep. Targino Machado-06- 2012- Divulgação da  atividade parlamentar- 600
915883-Dep. Targino Machado-06- 2012- Locomoção, hospedagem- 16800
915883-Dep. Targino Machado-07- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1100
915883-Dep. Targino Machado-07- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 13900
915883-Dep. Targino Machado-07- 2012- Divulgação da  atividade parlamentar- 6400
915883-Dep. Targino Machado-07- 2012- Locomoção, hospedagem- 20400
915883-Dep. Targino Machado-08- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1100
915883-Dep. Targino Machado-08- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 9000
915883-Dep. Targino Machado-08- 2012- Divulgação da  atividade parlamentar- 1200
915883-Dep. Targino Machado-09- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1468.1
915883-Dep. Targino Machado-09- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 8400
915883-Dep. Targino Machado-09- 2012- Divulgação da  atividade parlamentar- 600
915883-Dep. Targino Machado-09- 2012- Locomoção, hospedagem- 20400
915883-Dep. Targino Machado-10- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1178.26
915883-Dep. Targino Machado-10- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 14600
915883-Dep. Targino Machado-10- 2012- Divulgação da  atividade parlamentar- 600
915883-Dep. Targino Machado-11- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1238.35
915883-Dep. Targino Machado-11- 2012- Divulgação da  atividade parlamentar- 4700
915883-Dep. Targino Machado-11- 2012- Locomoção, hospedagem- 20400
915883-Dep. Targino Machado-12- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1100
915883-Dep. Targino Machado-12- 2012- Divulgação da  atividade parlamentar- 46000
915883-Dep. Targino Machado-01- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 95.88000000000001
915883-Dep. Targino Machado-01- 2013- Divulgação da  atividade parlamentar- 2600
915883-Dep. Targino Machado-02- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2303.77
915883-Dep. Targino Machado-02- 2013- Divulgação da  atividade parlamentar- 2600
915883-Dep. Targino Machado-03- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1197.52
915883-Dep. Targino Machado-03- 2013- Aquisição de material de expediente- 1145
915883-Dep. Targino Machado-03- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
915883-Dep. Targino Machado-03- 2013- Divulgação da  atividade parlamentar- 8300
915883-Dep. Targino Machado-04- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1317.69
915883-Dep. Targino Machado-04- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 4000
915883-Dep. Targino Machado-04- 2013- Divulgação da  atividade parlamentar- 9800
915883-Dep. Targino Machado-05- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 175.89
915883-Dep. Targino Machado-05- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 8600
915883-Dep. Targino Machado-05- 2013- Divulgação da  atividade parlamentar- 9100
915883-Dep. Targino Machado-05- 2013- Locomoção, hospedagem- 21400
915883-Dep. Targino Machado-06- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2249.55
915883-Dep. Targino Machado-06- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
915883-Dep. Targino Machado-06- 2013- Divulgação da  atividade parlamentar- 13800
915883-Dep. Targino Machado-06- 2013- Locomoção, hospedagem- 44800
915883-Dep. Targino Machado-07- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1189.86
