
915869-Dep. Zé Raimundo-01- 2012- Aquisição de material de expediente- 1036.11
915869-Dep. Zé Raimundo-01- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 5000
915869-Dep. Zé Raimundo-01- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915869-Dep. Zé Raimundo-01- 2012- Divulgação da  atividade parlamentar- 1450
915869-Dep. Zé Raimundo-02- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2617.32
915869-Dep. Zé Raimundo-02- 2012- Aquisição de material de expediente- 930.71
915869-Dep. Zé Raimundo-02- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1182.9
915869-Dep. Zé Raimundo-02- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915869-Dep. Zé Raimundo-02- 2012- Divulgação da  atividade parlamentar- 21700
915869-Dep. Zé Raimundo-02- 2012- Locomoção, hospedagem- 171
915869-Dep. Zé Raimundo-03- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1095.94
915869-Dep. Zé Raimundo-03- 2012- Aquisição de material de expediente- 414.01
915869-Dep. Zé Raimundo-03- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 6278.88
915869-Dep. Zé Raimundo-03- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915869-Dep. Zé Raimundo-03- 2012- Divulgação da  atividade parlamentar- 6700
915869-Dep. Zé Raimundo-03- 2012- Locomoção, hospedagem- 85
915869-Dep. Zé Raimundo-04- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 5353.240000000001
915869-Dep. Zé Raimundo-04- 2012- Aquisição de material de expediente- 571.59
915869-Dep. Zé Raimundo-04- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1587.64
915869-Dep. Zé Raimundo-04- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
