
923801-Dep. Samuel Júnior-02- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 4320
923801-Dep. Samuel Júnior-03- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24000
923801-Dep. Samuel Júnior-03- 2017- Divulgação da  atividade parlamentar- 18000
923801-Dep. Samuel Júnior-04- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24000
923801-Dep. Samuel Júnior-05- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 36000
923801-Dep. Samuel Júnior-05- 2017- Divulgação da  atividade parlamentar- 19000
923801-Dep. Samuel Júnior-05- 2017- Locomoção, hospedagem- 1876
923801-Dep. Samuel Júnior-06- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 36000
923801-Dep. Samuel Júnior-06- 2017- Divulgação da  atividade parlamentar- 34660
923801-Dep. Samuel Júnior-06- 2017- Locomoção, hospedagem- 14430
923801-Dep. Samuel Júnior-07- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24000
923801-Dep. Samuel Júnior-07- 2017- Divulgação da  atividade parlamentar- 19150
923801-Dep. Samuel Júnior-07- 2017- Locomoção, hospedagem- 9849
923801-Dep. Samuel Júnior-08- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24000
923801-Dep. Samuel Júnior-08- 2017- Divulgação da  atividade parlamentar- 3500
923801-Dep. Samuel Júnior-08- 2017- Locomoção, hospedagem- 1448
923801-Dep. Samuel Júnior-09- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24000
923801-Dep. Samuel Júnior-09- 2017- Divulgação da  atividade parlamentar- 3000
923801-Dep. Samuel Júnior-09- 2017- Locomoção, hospedagem- 1721
923801-Dep. Samuel Júnior-10- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24000
923801-Dep. Samuel Júnior-10- 2017- Divulgação da  atividade parlamentar- 5580
923801-Dep. Samuel Júnior-10- 2017- Locomoção, hospedagem- 3349.090000000001
923801-Dep. Samuel Júnior-11- 2017- Assessorias- 9750
923801-Dep. Samuel Júnior-11- 2017- Consultorias- 9750
923801-Dep. Samuel Júnior-11- 2017- Divulgação da  atividade parlamentar- 14190
923801-Dep. Samuel Júnior-12- 2017- Assessorias- 9750
923801-Dep. Samuel Júnior-12- 2017- Consultorias- 9750
923801-Dep. Samuel Júnior-12- 2017- Divulgação da  atividade parlamentar- 14000
