
915860-Dep. Adolfo Viana-02- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
915860-Dep. Adolfo Viana-03- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
915860-Dep. Adolfo Viana-04- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23500
915860-Dep. Adolfo Viana-04- 2011- Divulgação da  atividade parlamentar- 3500
915860-Dep. Adolfo Viana-04- 2011- Locomoção, hospedagem- 11050
915860-Dep. Adolfo Viana-05- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 27000
915860-Dep. Adolfo Viana-06- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30500
915860-Dep. Adolfo Viana-06- 2011- Locomoção, hospedagem- 1187
915860-Dep. Adolfo Viana-07- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23500
915860-Dep. Adolfo Viana-08- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23500
915860-Dep. Adolfo Viana-08- 2011- Divulgação da  atividade parlamentar- 3500
915860-Dep. Adolfo Viana-09- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23500
915860-Dep. Adolfo Viana-10- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30500
915860-Dep. Adolfo Viana-11- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23500
915860-Dep. Adolfo Viana-11- 2011- Locomoção, hospedagem- 8000
915860-Dep. Adolfo Viana-12- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 29500
915860-Dep. Adolfo Viana-01- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23500
915860-Dep. Adolfo Viana-02- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 29500
915860-Dep. Adolfo Viana-03- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 29500
915860-Dep. Adolfo Viana-03- 2012- Divulgação da  atividade parlamentar- 1903
915860-Dep. Adolfo Viana-04- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 29500
915860-Dep. Adolfo Viana-05- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 27500
915860-Dep. Adolfo Viana-06- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23000
915860-Dep. Adolfo Viana-07- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23000
915860-Dep. Adolfo Viana-08- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21500
