
921271-Dep. Gika Lopes-03- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2332.93
921271-Dep. Gika Lopes-03- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23100
921271-Dep. Gika Lopes-03- 2016- Divulgação da  atividade parlamentar- 4485.04
921271-Dep. Gika Lopes-03- 2016- Locomoção, hospedagem- 10371.77
921271-Dep. Gika Lopes-04- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2624.36
921271-Dep. Gika Lopes-04- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-04- 2016- Divulgação da  atividade parlamentar- 2820
921271-Dep. Gika Lopes-04- 2016- Locomoção, hospedagem- 10250.82
921271-Dep. Gika Lopes-05- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1747.75
921271-Dep. Gika Lopes-05- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23100
921271-Dep. Gika Lopes-05- 2016- Divulgação da  atividade parlamentar- 2820
921271-Dep. Gika Lopes-05- 2016- Locomoção, hospedagem- 10172.96
921271-Dep. Gika Lopes-06- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2664.81
921271-Dep. Gika Lopes-06- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-06- 2016- Divulgação da  atividade parlamentar- 3547.5
921271-Dep. Gika Lopes-06- 2016- Locomoção, hospedagem- 10206.76
921271-Dep. Gika Lopes-07- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2658.54
921271-Dep. Gika Lopes-07- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-07- 2016- Divulgação da  atividade parlamentar- 2820
921271-Dep. Gika Lopes-07- 2016- Locomoção, hospedagem- 10058.89
