
915878-Dep. Luiza Maia-04- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 8797.299999999999
915878-Dep. Luiza Maia-04- 2012- Divulgação da  atividade parlamentar- 450
915878-Dep. Luiza Maia-05- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1673.16
915878-Dep. Luiza Maia-05- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 9124.98
915878-Dep. Luiza Maia-05- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915878-Dep. Luiza Maia-05- 2012- Divulgação da  atividade parlamentar- 450
915878-Dep. Luiza Maia-06- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 9005.18
915878-Dep. Luiza Maia-06- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 17733.95
915878-Dep. Luiza Maia-06- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915878-Dep. Luiza Maia-06- 2012- Divulgação da  atividade parlamentar- 3236.9
915878-Dep. Luiza Maia-07- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2075.15
915878-Dep. Luiza Maia-07- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1389.29
915878-Dep. Luiza Maia-08- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 4108.94
915878-Dep. Luiza Maia-08- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 9097.23
915878-Dep. Luiza Maia-08- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 2500
915878-Dep. Luiza Maia-08- 2012- Divulgação da  atividade parlamentar- 450
915878-Dep. Luiza Maia-09- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 8018.63
915878-Dep. Luiza Maia-09- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2004.23
915878-Dep. Luiza Maia-09- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 13370
915878-Dep. Luiza Maia-10- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1776.98
915878-Dep. Luiza Maia-10- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 10670.57
915878-Dep. Luiza Maia-10- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10870
915878-Dep. Luiza Maia-11- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 9150.16
915878-Dep. Luiza Maia-11- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 9618.639999999999
915878-Dep. Luiza Maia-11- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 2500
915878-Dep. Luiza Maia-12- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 4331.63
915878-Dep. Luiza Maia-12- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 9932.98
915878-Dep. Luiza Maia-12- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 2500
915878-Dep. Luiza Maia-12- 2012- Divulgação da  atividade parlamentar- 14850
915878-Dep. Luiza Maia-01- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 173.44
915878-Dep. Luiza Maia-01- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1329.67
915878-Dep. Luiza Maia-02- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 8255.150000000001
915878-Dep. Luiza Maia-02- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 9749.120000000001
915878-Dep. Luiza Maia-02- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 2500
915878-Dep. Luiza Maia-02- 2013- Divulgação da  atividade parlamentar- 450
915878-Dep. Luiza Maia-03- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 6675
915878-Dep. Luiza Maia-03- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 9763.32
915878-Dep. Luiza Maia-03- 2013- Divulgação da  atividade parlamentar- 450
915878-Dep. Luiza Maia-04- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 6056.490000000001
915878-Dep. Luiza Maia-04- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 9535.52
915878-Dep. Luiza Maia-04- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915878-Dep. Luiza Maia-05- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 7716.82
915878-Dep. Luiza Maia-05- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 9723.909999999998
915878-Dep. Luiza Maia-06- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 7523.660000000001
915878-Dep. Luiza Maia-06- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 9118.76
915878-Dep. Luiza Maia-06- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 8370
915878-Dep. Luiza Maia-06- 2013- Divulgação da  atividade parlamentar- 450
915878-Dep. Luiza Maia-07- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2473.45
915878-Dep. Luiza Maia-07- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 243.29
915878-Dep. Luiza Maia-07- 2013- Locomoção, hospedagem- 9950
915878-Dep. Luiza Maia-08- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 7011.39
915878-Dep. Luiza Maia-08- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20370
915878-Dep. Luiza Maia-08- 2013- Divulgação da  atividade parlamentar- 450
915878-Dep. Luiza Maia-08- 2013- Locomoção, hospedagem- 10330
915878-Dep. Luiza Maia-09- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 5463.95
915878-Dep. Luiza Maia-09- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 692.92
915878-Dep. Luiza Maia-09- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 8370
915878-Dep. Luiza Maia-09- 2013- Divulgação da  atividade parlamentar- 450
915878-Dep. Luiza Maia-09- 2013- Locomoção, hospedagem- 10236
915878-Dep. Luiza Maia-10- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 6463.820000000001
915878-Dep. Luiza Maia-10- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 9236.719999999999
915878-Dep. Luiza Maia-10- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915878-Dep. Luiza Maia-10- 2013- Locomoção, hospedagem- 9950
915878-Dep. Luiza Maia-11- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 7396.29
915878-Dep. Luiza Maia-11- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 816.52
915878-Dep. Luiza Maia-11- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16740
915878-Dep. Luiza Maia-12- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 7298.77
915878-Dep. Luiza Maia-12- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 900
915878-Dep. Luiza Maia-12- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20370
915878-Dep. Luiza Maia-12- 2013- Divulgação da  atividade parlamentar- 18000
915878-Dep. Luiza Maia-12- 2013- Locomoção, hospedagem- 323
915878-Dep. Luiza Maia-01- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 3675
915878-Dep. Luiza Maia-01- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1642.15
915878-Dep. Luiza Maia-01- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6000
915878-Dep. Luiza Maia-02- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 753.29
915878-Dep. Luiza Maia-02- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2454.31
915878-Dep. Luiza Maia-02- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6000
915878-Dep. Luiza Maia-03- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 8017.43
915878-Dep. Luiza Maia-03- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 588.8199999999999
915878-Dep. Luiza Maia-03- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24100
915878-Dep. Luiza Maia-03- 2014- Locomoção, hospedagem- 24200
915878-Dep. Luiza Maia-04- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 8000
915878-Dep. Luiza Maia-04- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 17000
915878-Dep. Luiza Maia-04- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7100
915878-Dep. Luiza Maia-04- 2014- Divulgação da  atividade parlamentar- 12550
915878-Dep. Luiza Maia-05- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 11350
915878-Dep. Luiza Maia-05- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 450
915878-Dep. Luiza Maia-05- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15600
915878-Dep. Luiza Maia-05- 2014- Locomoção, hospedagem- 12100
915878-Dep. Luiza Maia-06- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 7675
915878-Dep. Luiza Maia-06- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 900
915878-Dep. Luiza Maia-06- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15600
915878-Dep. Luiza Maia-06- 2014- Locomoção, hospedagem- 24200
915878-Dep. Luiza Maia-07- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 46.7
915878-Dep. Luiza Maia-07- 2014- Aquisição de material de expediente- 25.22
915878-Dep. Luiza Maia-07- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 855.5
915878-Dep. Luiza Maia-07- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7100
