
919329-Dep. Marquinho Viana-01- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19500
919329-Dep. Marquinho Viana-01- 2014- Divulgação da  atividade parlamentar- 1700
919329-Dep. Marquinho Viana-01- 2014- Locomoção, hospedagem- 11000
919329-Dep. Marquinho Viana-02- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 600
919329-Dep. Marquinho Viana-02- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 659.5699999999999
919329-Dep. Marquinho Viana-02- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19500
919329-Dep. Marquinho Viana-02- 2014- Divulgação da  atividade parlamentar- 1800
919329-Dep. Marquinho Viana-03- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 600
919329-Dep. Marquinho Viana-03- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 726.36
919329-Dep. Marquinho Viana-03- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19500
919329-Dep. Marquinho Viana-03- 2014- Divulgação da  atividade parlamentar- 2520
919329-Dep. Marquinho Viana-03- 2014- Locomoção, hospedagem- 8614.15
919329-Dep. Marquinho Viana-04- 2014- Aluguel  de imóveis para escritório; despesas concernentes a eles- 600
919329-Dep. Marquinho Viana-04- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1054.83
919329-Dep. Marquinho Viana-04- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19500
919329-Dep. Marquinho Viana-04- 2014- Divulgação da  atividade parlamentar- 2100
919329-Dep. Marquinho Viana-05- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 851.48
919329-Dep. Marquinho Viana-05- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 40500
919329-Dep. Marquinho Viana-05- 2014- Divulgação da  atividade parlamentar- 2100
919329-Dep. Marquinho Viana-05- 2014- Locomoção, hospedagem- 424.41
919329-Dep. Marquinho Viana-06- 2014- Aquisição de material de expediente- 124
919329-Dep. Marquinho Viana-06- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2325
919329-Dep. Marquinho Viana-06- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19500
919329-Dep. Marquinho Viana-06- 2014- Divulgação da  atividade parlamentar- 20000
919329-Dep. Marquinho Viana-07- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 679.76
919329-Dep. Marquinho Viana-07- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19500
919329-Dep. Marquinho Viana-07- 2014- Locomoção, hospedagem- 175
919329-Dep. Marquinho Viana-08- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 683.05
919329-Dep. Marquinho Viana-08- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 45500
919329-Dep. Marquinho Viana-08- 2014- Locomoção, hospedagem- 139.8
919329-Dep. Marquinho Viana-09- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 679.76
919329-Dep. Marquinho Viana-09- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
919329-Dep. Marquinho Viana-10- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2576.32
919329-Dep. Marquinho Viana-10- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
919329-Dep. Marquinho Viana-10- 2014- Divulgação da  atividade parlamentar- 0
919329-Dep. Marquinho Viana-11- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1200
919329-Dep. Marquinho Viana-11- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 29500
919329-Dep. Marquinho Viana-12- 2014- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1681.53
919329-Dep. Marquinho Viana-12- 2014- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 41000
919329-Dep. Marquinho Viana-01- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 486.08
919329-Dep. Marquinho Viana-01- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 32500
919329-Dep. Marquinho Viana-02- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2154.42
