
915868-Dep. Fabrício Falcão-02- 2011- Aquisição de material de expediente- 0
915868-Dep. Fabrício Falcão-02- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 14000
915868-Dep. Fabrício Falcão-02- 2011- Locomoção, hospedagem- 26000
915868-Dep. Fabrício Falcão-03- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 11000
915868-Dep. Fabrício Falcão-03- 2011- Divulgação da  atividade parlamentar- 1950
915868-Dep. Fabrício Falcão-03- 2011- Locomoção, hospedagem- 823.6
915868-Dep. Fabrício Falcão-04- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
915868-Dep. Fabrício Falcão-04- 2011- Divulgação da  atividade parlamentar- 8984.119999999999
915868-Dep. Fabrício Falcão-04- 2011- Locomoção, hospedagem- 399
915868-Dep. Fabrício Falcão-05- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915868-Dep. Fabrício Falcão-05- 2011- Divulgação da  atividade parlamentar- 18278.2
915868-Dep. Fabrício Falcão-05- 2011- Locomoção, hospedagem- 1435.3
915868-Dep. Fabrício Falcão-06- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915868-Dep. Fabrício Falcão-06- 2011- Divulgação da  atividade parlamentar- 12100
915868-Dep. Fabrício Falcão-06- 2011- Locomoção, hospedagem- 11000
915868-Dep. Fabrício Falcão-07- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915868-Dep. Fabrício Falcão-07- 2011- Divulgação da  atividade parlamentar- 16100
915868-Dep. Fabrício Falcão-08- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915868-Dep. Fabrício Falcão-08- 2011- Divulgação da  atividade parlamentar- 13090
915868-Dep. Fabrício Falcão-09- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915868-Dep. Fabrício Falcão-09- 2011- Divulgação da  atividade parlamentar- 11700
915868-Dep. Fabrício Falcão-10- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915868-Dep. Fabrício Falcão-10- 2011- Divulgação da  atividade parlamentar- 2949.08
915868-Dep. Fabrício Falcão-10- 2011- Locomoção, hospedagem- 9700
915868-Dep. Fabrício Falcão-11- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915868-Dep. Fabrício Falcão-11- 2011- Divulgação da  atividade parlamentar- 2285
915868-Dep. Fabrício Falcão-12- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
